sector,yStock,xStock,intercept,beta,adf_pvalue,sigma,quality,intercept_pct,explained_pct,z_score
BANK,KOTAKBANK,HDFCBANK,594.9257,1.5071,0.0303,93.5759,POOR,27.6,72.4,0.73
BANK,ICICIBANK,HDFCBANK,112.963,1.3191,0.0001,50.7797,POOR,8.4,91.6,-1.54
FINANCE,BAJAJFINSV,HDFCLIFE,319.6266,2.1811,0.0348,108.099,POOR,15.9,84.1,0.57
FMCG,NESTLEIND,TATACONSUM,443.9361,0.6998,0.0,41.1537,POOR,34.7,65.3,0.0
