symbol_a,symbol_b,mean,std,p_value
SBILIFE,ADANIPORTS,1.3007914949336503,0.057426081491132014,0.000473869718472283
JSWSTEEL,BAJFINANCE,1.1514401852222689,0.0654989685880504,0.0033258737792507733
GRASIM,HDFCBANK,2.8288340112837624,0.0786953518491137,0.003620771884450775
LT,TITAN,1.0340170815454695,0.03988447220716413,0.00392369459058857
BAJAJFINSV,TATACONSUM,1.8141146848652696,0.06167188360218602,0.006991234363245064
NESTLEIND,BAJAJFINSV,0.6040500948653488,0.027750161370562555,0.00807296922338799
TATASTEEL,BAJFINANCE,0.16972627660387654,0.010900747830935278,0.008629919753925479
SBIN,EICHERMOT,0.14217115730680965,0.01060003940695239,0.012940422769657072
GRASIM,HDFCLIFE,3.7189946880265095,0.17794011001773188,0.014810728286446641
WIPRO,INFY,0.16345938800797802,0.005180401948012588,0.01607284209455743
HINDALCO,EICHERMOT,0.11881826465715067,0.007620916777982961,0.016573469003415952
MARUTI,EICHERMOT,2.298799773383195,0.10031628559532565,0.01793447125445796
BHARTIARTL,RELIANCE,1.3474611526944391,0.04797662436299135,0.018449694452543446
HDFCLIFE,HDFCBANK,0.76182150020539,0.03029641957183983,0.018588396005605565
