"sector","yStock","xStock","intercept","beta","adf_test_P.val","std_err","sigma"
"Banks-Private","HDFC.Bank","ICICI",1806.12836632681,0.25846680155029,0.207313241276444,2.09530867938672,78.0020034830726
"Banks-Private","HDFC.Bank","Kotak",1104.78014416475,0.719982091880651,0.01,-0.517807644645859,34.7664602634608
"Banks-Private","HDFC.Bank","IndusInd",729.652519926803,0.665575670055426,0.01,0.285199024384805,46.1552737101674
"Banks-Private","HDFC.Bank","Yes.Bank",1774.26341545467,0.331312791602152,0.197534992171866,2.04917490742212,77.8481498076608
"Banks-Private","HDFC.Bank","South.Indian",2237.30976328608,-12.4158945184092,0.0219263010863754,1.66576676494771,69.0824297361973
"Banks-Private","ICICI","Kotak",354.795090833368,-0.0490602828730519,0.0230583528439314,-0.107020761920499,20.3629349213489
"Banks-Private","IndusInd","ICICI",2260.31768187086,-1.74284121033357,0.290038801521109,2.23130220481254,87.5385152032382
"Banks-Private","Yes.Bank","ICICI",376.384517900176,-0.148657411173801,0.0346783629910581,-0.0670072193113035,21.7943371450959
"Banks-Private","ICICI","South.Indian",223.44851805869,2.75039614525965,0.0216693918600119,-0.228034396595597,19.27718946799
"Banks-Private","IndusInd","Kotak",786.14869139419,0.876153859967263,0.01,0.0945340438946734,41.5721404630245
"Banks-Private","Yes.Bank","Kotak",294.435581521014,0.0342752416663131,0.0434959961063193,-0.358330824029342,21.7610647623367
"Banks-Private","Kotak","South.Indian",1662.5314373397,-20.3920586809044,0.0779845101420494,2.26969250020501,76.4470168822887
"Banks-Private","IndusInd","Yes.Bank",1408.36573216105,0.983761540873712,0.539439000997762,2.37850317645211,92.318011653127
"Banks-Private","IndusInd","South.Indian",2335.17428757024,-21.1143688892879,0.0251343001659125,2.01757677222975,71.505471967307
"Banks-Private","Yes.Bank","South.Indian",298.891281603551,1.14752901007808,0.0446546256446788,0.220317669592723,21.7532370638632
