date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,639.0,647.05,633.65,645.45,17056
2024-12-17 00:00:00+05:30,646.65,648.15,630.0,633.15,15092
2024-12-18 00:00:00+05:30,633.15,643.9,630.5,641.6,10799
2024-12-19 00:00:00+05:30,637.05,642.0,629.9,640.95,15469
2024-12-20 00:00:00+05:30,641.35,647.45,625.65,628.25,28719
2024-12-23 00:00:00+05:30,627.95,637.9,620.65,636.45,36925
2024-12-24 00:00:00+05:30,638.6,645.6,625.85,632.7,11263
2024-12-26 00:00:00+05:30,631.95,634.4,625.95,632.05,13088
2024-12-27 00:00:00+05:30,630.2,634.65,629.0,632.85,9472
2024-12-30 00:00:00+05:30,630.2,644.35,628.6,642.6,23475
2024-12-31 00:00:00+05:30,640.05,641.35,634.9,639.45,25284
2025-01-01 00:00:00+05:30,630.4,647.5,630.4,643.2,8823
2025-01-02 00:00:00+05:30,636.95,656.1,636.95,653.35,16784
2025-01-03 00:00:00+05:30,653.8,663.05,647.55,660.95,58151
2025-01-06 00:00:00+05:30,669.0,674.05,633.45,648.0,95006
2025-01-07 00:00:00+05:30,647.95,654.3,640.0,643.6,12139
2025-01-08 00:00:00+05:30,636.05,640.1,623.45,638.1,19659
2025-01-09 00:00:00+05:30,638.4,668.4,637.65,666.55,51226
2025-01-10 00:00:00+05:30,674.35,679.3,665.0,672.85,65939
2025-01-13 00:00:00+05:30,672.1,675.2,663.6,667.8,14766
2025-01-14 00:00:00+05:30,670.0,670.0,654.55,660.95,14593
2025-01-15 00:00:00+05:30,672.95,672.95,651.1,660.15,8226
2025-01-16 00:00:00+05:30,658.4,663.1,648.2,652.25,20509
2025-01-17 00:00:00+05:30,648.2,668.2,647.9,664.5,43076
2025-01-20 00:00:00+05:30,666.05,667.55,655.0,657.35,12713
2025-01-21 00:00:00+05:30,661.95,668.4,657.5,663.45,27974
2025-01-22 00:00:00+05:30,666.45,670.65,661.25,665.0,21779
2025-01-23 00:00:00+05:30,672.45,673.0,658.45,668.05,5832
2025-01-24 00:00:00+05:30,670.0,672.0,663.35,666.3,40218
2025-01-27 00:00:00+05:30,661.0,667.0,653.85,655.85,23833
2025-01-28 00:00:00+05:30,659.95,668.55,654.1,664.65,12491
2025-01-29 00:00:00+05:30,667.0,683.4,664.65,669.7,158108
2025-01-30 00:00:00+05:30,677.95,677.95,668.1,672.35,17636
2025-01-31 00:00:00+05:30,673.7,686.0,655.4,670.7,100300
2025-02-01 00:00:00+05:30,674.95,736.1,666.05,693.25,439506
2025-02-03 00:00:00+05:30,689.8,689.9,661.95,672.85,34513
2025-02-04 00:00:00+05:30,672.85,679.4,665.45,677.65,15606
2025-02-05 00:00:00+05:30,677.5,677.5,662.55,668.9,52073
2025-02-06 00:00:00+05:30,667.85,676.5,657.6,661.1,22356
2025-02-07 00:00:00+05:30,659.05,661.85,643.75,646.1,22594
2025-02-10 00:00:00+05:30,646.6,651.55,636.35,643.95,10988
2025-02-11 00:00:00+05:30,638.05,650.5,626.85,634.5,7151
2025-02-12 00:00:00+05:30,631.0,637.25,620.55,632.2,7819
