date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,133115.75,133500.0,132264.85,132611.55,180
2024-12-17 00:00:00+05:30,132200.05,132251.0,130571.2,130922.8,199
2024-12-18 00:00:00+05:30,131200.0,131498.55,130171.8,130314.7,116
2024-12-19 00:00:00+05:30,129400.0,130157.9,129001.0,129828.95,72
2024-12-20 00:00:00+05:30,130178.05,130500.0,127700.0,128009.65,65
2024-12-23 00:00:00+05:30,128632.35,130434.35,128083.3,130337.55,109
2024-12-24 00:00:00+05:30,130028.7,131012.2,129934.0,130372.35,110
2024-12-26 00:00:00+05:30,130623.35,131400.0,130134.9,131245.25,193
2024-12-27 00:00:00+05:30,130651.4,132650.0,130651.4,131457.4,211
2024-12-30 00:00:00+05:30,130651.0,131600.0,129786.9,131089.8,45
2024-12-31 00:00:00+05:30,131000.0,131405.05,129565.05,130640.85,55
2025-01-01 00:00:00+05:30,130640.85,130640.85,129018.75,129285.85,112
2025-01-02 00:00:00+05:30,129430.45,129894.05,128000.0,129201.75,153
2025-01-03 00:00:00+05:30,129899.0,129987.35,126001.0,126420.55,258
2025-01-06 00:00:00+05:30,126950.0,126950.0,122283.4,122916.85,755
2025-01-07 00:00:00+05:30,122951.0,124029.0,120765.0,121166.0,570
2025-01-08 00:00:00+05:30,122149.95,122149.95,119100.0,119896.95,235
2025-01-09 00:00:00+05:30,120100.0,120542.65,118741.3,118915.55,466
2025-01-10 00:00:00+05:30,118500.05,119178.0,117000.0,117094.7,442
2025-01-13 00:00:00+05:30,117100.0,117100.0,112752.7,113017.3,417
2025-01-14 00:00:00+05:30,114000.0,114739.2,112692.6,114245.5,608
2025-01-15 00:00:00+05:30,114954.1,115799.0,113726.75,114169.1,288
2025-01-16 00:00:00+05:30,115200.0,115300.0,114200.0,114416.7,130
2025-01-17 00:00:00+05:30,114899.95,114899.95,113476.7,113865.85,126
2025-01-20 00:00:00+05:30,114400.0,114400.0,112227.65,113734.8,231
2025-01-21 00:00:00+05:30,113999.95,115263.5,111837.95,112110.5,301
2025-01-22 00:00:00+05:30,113088.0,113088.0,110546.9,111538.9,439
2025-01-23 00:00:00+05:30,111550.0,112200.0,110654.1,111690.6,174
2025-01-24 00:00:00+05:30,112997.95,112997.95,111295.0,111468.05,162
2025-01-27 00:00:00+05:30,111598.95,111598.95,110100.0,111225.5,167
2025-01-28 00:00:00+05:30,111300.0,113262.5,111300.0,112869.3,411
2025-01-29 00:00:00+05:30,112883.7,112967.25,111694.85,112325.4,167
2025-01-30 00:00:00+05:30,112205.0,113593.65,112205.0,112571.1,165
2025-01-31 00:00:00+05:30,112022.55,114551.4,112022.55,113603.2,161
2025-02-01 00:00:00+05:30,113603.2,114489.4,112434.95,114107.7,195
2025-02-03 00:00:00+05:30,114599.95,114800.0,113092.0,113648.65,147
2025-02-04 00:00:00+05:30,114275.0,115000.0,113140.0,114870.45,126
2025-02-05 00:00:00+05:30,115100.0,115350.0,114500.0,115067.95,250
2025-02-06 00:00:00+05:30,114825.1,115499.75,110000.0,114038.35,1147
